Firma Adı;Konum;Resim Yolu;Telefon;E-Posta;Hakkımızda;Kuruluş Yılı;Ücret Aralığı;Kapalı Alan;Açık Alan;Özellikler
MEK Alfa Koleji Anaokulu;Maltepe / İstanbul;kurum_galeri/mekalfakolejianaokulu_1770962134.jpg;+905436932677;iletisim@oyungruplari.com;"MEK Alfa Koleji Anaokulu: Çocuklar İçin Bütüncül Bir Eğitim Deneyimi sunar MEK Alfa Koleji Anaokulu, çocukların erken yaşta sağlam bir eğitim temeli edinmelerini sağlayan modern,sürdürülebilir ve yenilikçi bir eğitim kurumudur. Okul, etkin öğrenme odaklı tüm eğitim yaklaşımlarının en iyi yönleri ile çocuklara bilgi ve becerilerini deneyimleyerek öğretmeyi amaçlar. Bu yaklaşımlar, çocukların aktif katılımını teşvik ettiği için onların duyularını kullanarak öğrenmelerini sağlar. Çocuklar oyun, keşif ve etkileşim yoluyla kendi sorularını keşfeder, problem çözme becerilerini geliştirir ve özgüven kazanırlar MEK Alfa Koleji Anaokulu, standartların ötesinde hizmet sunan sıradışı bir anaokuludur. Okulumuzda, çocuklarımız okula geldikleri andan itibaren sigortalanmaktadır. Ayrıca, velilerimizin hafta sonlarını ailece geçirmek istediklerini göz önünde bulundurarak, çocukların gitmeleri gereken kursların eğitim saatleri içinde yani okula geldikleri zamanda düzenlenmesini destekliyoruz. Bu doğrultuda, spor, sanat ve beceri atölyeleri gibi etkinlikler okulda gerçekleştirilebileceği gibi, okul dışında yapılması gereken etkinlikler için de uygun ortam ve imkanlar sağlanmaktadır. MEK Alfa Koleji'nin en dikkat çeken özelliklerinden biri, iki yabancı dilin eğitimini alanında uzman eğitimciler tarafından verilmesidir. Çocuklar, İngilizce ve Almanca eğitim alırlar. Bu dil eğitimi, oyun ve drama gibi eğlenceli ve yaşa uygun aktivitelerle zenginleştirilir, böylece çocuklar dili doğal ve akıcı bir şekilde öğrenirler. Küçük yaşta çift dil eğitimi, çocukların gelecekteki akademik başarılarını olumlu yönde etkiler. Okulun eğitim programı, sadece dil ve bilişsel gelişimle sınırlı kalmaz; çocukların fiziksel, sosyal ve duygusal gelişimlerine de büyük önem verir. MEK Alfa Koleji Anaokulu, çocuklara 2 brunch 1 öğle yemeği şeklinde besleyici yemek sunarak sağlıklı beslenmeyi destekler. Yemekler, çocukların ihtiyaç duyduğu besin değerleri gözetilerek, mevsime uygun malzemelerle okulun mutfağında özenle hazırlanır. MEK Alfa Koleji Anaokulu, hijyen ve güvenlik konularına titizlikle yaklaşır. Okul, çocukların güvenliğini sağlamak için güvenlik sistemlerine sahiptir ve temizlik personeli sürekli olarak hijyen standartlarını gözetir. Çalışan ebeveynler için de ideal olan okul, hafta sonları ziyaret ve bilgi alma imkânı sunarak ebeveynlerle güçlü bir iletişim ağı kurar. Bunun yanında deprem sensörü olan ilk ve tek okuldur. Ayrıca, rehberlik sistemi sayesinde çocukların gelişimi sürekli izlenir ve velilere düzenli geri bildirim sağlanır. Sonuç olarak, MEK Alfa Koleji Anaokulu, #ilkeğitimleribizimleolsun hashtag ı ile çocuğunuzun hem akademik hem de kişisel gelişimini en üst düzeye çıkarmak için güçlü bir altyapıya ve modern,sürdürülebilir,yeni nesil eğitim anlayışına sahiptir. Ebeveynler, çocuklarına bu güvenli, sevgi dolu ve nitelikli eğitim ortamında geleceğe emin adımlarla ilerlemeleri için fırsat sunabilirler.";;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Binicilik, Jimnastik, Yoga, Yüzme, Bale, Dans, Muzik, Orff, Yaratıcı Drama, Kamera, Yemek, Montesorri, Waldorf, Reggio Emilia, PYP, High Scope, Cooperative, Creative Cirriculum, Yabancı Dil, Kodlama, Satranç, Havuz, Bahce, Periyodik Doktor
Hilalin Sanat Atölyesi;Yenimahalle / Ankara;kurum_galeri/hilalinsanatatölyesi_1770962135.jpg;+905318802128;iletisim@oyungruplari.com;Hilalin Sanat Atölyesi olarak Ankara Yenimahalle bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Yenimahalle oyun grubu. Ankara oyun grupları.;;;;;5 - 6 Yaş
Özel Turna Anaokulu;Yenimahalle / Ankara;kurum_galeri/özelturnaanaokulu_1770962137.jpg;+901111111111;iletisim@oyungruplari.com;Yenimahalle'de Antares AVM'ye çok yakın konumda bulunan, aynı zamanda tam gün eğitim veren kurumumuz dil gelişimini desteklemek ve çocukların akran etkileşimini güçlendirmek amacıyla, kreşe devam etmeyen çocuklara yönelik saatlik oyun grupları düzenlemektedir. Bu oyun grupları, dil ve konuşma terapisti eşliğinde gerçekleştirilmekte olup, çocukların dil becerilerini eğlenceli ve interaktif bir ortamda geliştirmelerine olanak sağlamaktadır. Turna Anaokulu, her çocuğun bireysel gelişimine önem vererek, onların sosyal ve dilsel gelişimlerini en iyi şekilde desteklemeyi hedeflemektedir. Oyun gruplarımız Salı- Perşembe günleri 10.00-12.00 arasındadır.;;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Kamera, Yemek, Yabancı Dil, Kodlama, Satranç, Bahce, Çocuk Parkı, Konferans
Kanka Kids Oyun evi;Torbalı / İzmir;kurum_galeri/kankakidsoyunevi_1770962138.jpg;+905434540587;iletisim@oyungruplari.com;Kanka Kids Oyun Evi İzmir/Torbalı bölgesinde anne ve çocukların mutlu ve keyifli zaman geçirmesini kendine misyon edinmiş bir oyun evi olarak hizmet sunmaktadır. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan 12 ay-6 yaş aralığındaki çocuklarımız için duyusal-sanatsal atölyeleri dahil bir çok etkinlik düzenlemektedir. Serbest oyun alanımızda çocuklarımız eğlenceli zaman geçirirken anne-babalarımız içeceklerini keyifle yudumlayabilir. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Torbalı oyun grubu. İzmir oyun grupları.     Saatlik oyun alanı  Oyun Evi Ebeveynli oyun grupları Ebeveynsiz Oyun Grupları Doğum günü organizasyonları Sınıf toplantıları organizasyonları;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Muzik, Orff, Kamera, Montesorri, Yabancı Dil, Bahce, Çocuk Parkı
Peek A Boo Atölye;Maltepe / İstanbul;kurum_galeri/peekabooatölye_1770962140.jpg;+905301443059;iletisim@oyungruplari.com;"0/6 yaş arası mak. 6 kişilik gruplarımızla her hafta değişen temalarımızla; *Sosyal *İnce ve kaba motor *Dil ve bilişsel *duyusal gelişimlerine destek olarak okul öncesine hazırlık yapmaktayız.";;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Yoga, Dans, Muzik
Wooden House Oyun Evi;Nevşehir Merkez / Nevşehir;varsayilan.jpg;+905432593550;iletisim@oyungruplari.com;Wooden House Oyun Evi olarak Nevşehir Merkez bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Merkez oyun grubu. Nevşehir oyun grupları.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Jimnastik, Dans, Muzik, Orff, Yaratıcı Drama, Kamera, Montesorri, Waldorf, Reggio Emilia, PYP, High Scope, Bank Street, Yabancı Dil, Kodlama, Bahce, Aile Daışmanı
KidzOne Balçova;Balçova / İzmir;kurum_galeri/kidzonebalçova_1770962142.jpg;+905558882530;iletisim@oyungruplari.com;KidzOne çocukların zihinsel, fiziksel ve sosyal gelişimlerini destekleyen ‘Gelişimsel Oyun ve Danışmanlık Merkezidir.’ KidzOne çocukların kendi ay gruplarıyla, ebeveynli veya ebeveynsiz katıldıkları, gelişimlerinin takip edildiği oyun ve danışmanlık merkezidir. Amacı, çocukları eğlendirmek, gelişimlerini yakından takip etmek ve onlara günümüz şartlarında oyun alanı sağlamaktır. Bununla birlikte ebeveynlere ihtiyaç duydukları alanlarda danışmanlık verilmektedir. Akademik kadro ve Uzman Psikologlar tarafından hazırlanan içerikler ile çocukların, ince-kaba motor becerileri, denge ve koordinasyon yetkinlikleri geliştirilmekte, sosyal ve özgüvenli bireyler olarak yetişmelerine katkı sağlanmaktadır.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, Muzik, Yaratıcı Drama, Kamera, Montesorri, Bahce, Konferans
Carpe Diem;Keçiören / Ankara;kurum_galeri/carpediem_1770962144.jpg;+905536332320;iletisim@oyungruplari.com;Oyun atölyesi 9-12 ay grubu en küçük yaş grubu 3-5 yaş en büyük yaş grubu Haftalık tema belirleniyor tema üzerinden etkinlikler yapılıyor İlk yarım saat serbest oyun sonraki bir saat etkinlikler ebeveynler eşliğinde yapılıyor Ebeveynlerin bu özel anları profesyonel fotoğraf makinası ile çekiliyor ebeveynlere iletiliyor Grup saatleri veli taleplerine göre düzenleniyor Çocuklarımızın oral dönemi sebebi ile atıştırmalık ikramı yapılıyor Aylık kayıt olan çocuklarımız için ilgi alanlarına göre duyu eksikliklerine göre oyun düzenlemeleri yapılıyor;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, Muzik, Orff, Güvenlik, Kamera, Montesorri, Waldorf, Reggio Emilia, Kodlama, Bahce
Kidzone Fun House;Iğdır Merkez / Iğdır;kurum_galeri/kidzonefunhouse_1770962145.jpg;+905443996776;iletisim@oyungruplari.com;**KidZone FunHouse: Çocuklar İçin Becerinin ve Yaratıcılığın Adresi!** KidZone FunHouse, 2-13 yaş arası çocuklar için özenle tasarlanmış atölyeler sunarak onların yeteneklerini ve hayal güçlerini geliştirmeyi hedefliyor. Atölyelerimiz, her çocuğun ilgi alanına hitap eden çeşitli etkinliklerle dolu. **Atölyelerimiz:** - **Beceri Atölyesi**: Çocuklar burada el becerilerini geliştiren yaratıcı projelerle hem eğleniyor hem de öğreniyor. Farklı malzemelerle yapılan el işi çalışmaları, çocukların ince motor becerilerini ve problem çözme yeteneklerini artırıyor. - **Görsel Sanatlar Atölyesi**: Resimden heykel yapımına kadar geniş bir yelpazede sanatsal etkinliklerle çocuklar, içlerindeki sanatçıyı keşfediyor. Renkler, şekiller ve desenlerle hayal gücünü sınırsızca kullanıyorlar. - **Akıl ve Zeka Oyunları Atölyesi**: Strateji, mantık ve problem çözme becerilerini geliştiren zeka oyunlarıyla dolu bu atölye, çocukların analitik düşünme yeteneklerini eğlenceli bir şekilde pekiştiriyor. - **Tasarım Atölyesi**: Mimariden mühendisliğe, çeşitli tasarım projeleriyle çocuklar yaratıcılıklarını konuşturuyor. Kendi oyuncaklarını, mini yapıları ve daha fazlasını tasarlayıp üretiyorlar. **Neden KeyZone FanHouse?** - **Uzman Eğitmenler**: Her atölyede çocukların gelişimini destekleyen deneyimli ve uzman eğitmenler yer alıyor. - **Güvenli ve Eğlenceli Ortam**: Çocuklarınızın güvenli ve keyifli bir ortamda, eğlenerek öğrenmesini sağlıyoruz. - **Küçük Gruplar, Özel İlgi**: Küçük gruplarla her çocuğa özel ilgi ve dikkat sunuyoruz, böylece onların bireysel ihtiyaçlarını karşılıyoruz. Çocuklarınızın yaratıcılığını ve becerilerini geliştirirken eğlenceli vakit geçirecekleri KeyZone FanHouse’a sizleri de bekliyoruz! **KidZone FunHouse: Yaratıcılık ve Beceri Dolu Bir Dünya!**;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Jimnastik, Yüzme, Güvenlik, Kamera, Montesorri, Waldorf, Satranç, Aile Daışmanı
Atölye Renkli Bahçe;Beykoz / İstanbul;kurum_galeri/atölyerenklibahçe_1770962146.jpg;+905322179833;iletisim@oyungruplari.com;Atölye Renkli Bahçe olarak İstanbul Beykoz bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Beykoz oyun grubu. İstanbul oyun grupları.;;;;;
Başakşehir Anne ve Çocuk Etk. Merk.;Başakşehir / İstanbul;kurum_galeri/başakşehiranneveçocuketkmerk_1770962148.jpg;+905050345785;iletisim@oyungruplari.com;Başakşehir Oyun Grubu |  Anne ve Çocuk Etkinlik Merkezi 2017'den beri... Sadece Anneler Atölyeler 🎨✂💦 Anneli Oyun Grubu 👩👫 📲0505 034 57 85 İstanbul / Başakşehir kayasehiroyungrubu;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, Yemek
Petibör Oyun Cafe;Nilüfer / Bursa;kurum_galeri/petiböroyuncafe_1770962149.jpg;+905428909911;iletisim@oyungruplari.com;Petibör Oyun Cafe olarak Bursa Nilüfer bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Nilüfer oyun grubu. Bursa oyun grupları.;;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Yemek, Çocuk Parkı
Ayşenur Bayraktar Çocuk Glş. Merk.;Bahçelievler / İstanbul;varsayilan.jpg;+905010829561;iletisim@oyungruplari.com;Ayşenur Bayraktar Bebek ve Çocuk Gelişim Merkezi olarak İstanbul Bahçelievler bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Bahçelievler oyun grubu. İstanbul oyun grupları.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Psikolojik
Dream Kids Oyun Grubu Karşıyaka;Karşıyaka / İzmir;kurum_galeri/dreamkidsoyungrubukarşıyaka_1770962152.jpg;+905052601986;iletisim@oyungruplari.com;Deam kids oyun ve etkinik merkezi Karşıyaka şubesi 12-60 AY ETKİNLİK VE OYUN MERKEZİ YAŞ DÜZEYİNE UYGUN ETKİNLİKLER ATÖLYELER DOĞUM GÜNÜ ORGANİZASYONLARI;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, Jimnastik, Muzik, Yaratıcı Drama, Kamera, Montesorri, Kodlama, Satranç
Dengeli Gelişim Anaokulu;Manavgat / Antalya;kurum_galeri/dengeligelişimanaokulu_1770962153.jpg;+905051036261;iletisim@oyungruplari.com;ÖZEL MANAVGAT DENGELİ GELİŞİM ANAOKULU, çocukların zihinsel, duygusal ve fiziksel gelişimlerine özen gösteren, 3-6 yaş aralığındaki çocuklar için güvenli, eğlenceli ve öğretici bir öğrenme ortamı sunan bir okul öncesi kurumudur. Manavgat'ta bulunan anaokulu, Deneyimli eğitim kadrosu ve modern eğitim materyalleri ile çocuklarınızın dengeli gelişimi için ideal bir tercihtir. Vizyonumuz Vizyonumuz, geleceğe hazırlayan, bireysel farklılıkları destekleyen ve yaşam boyu öğrenme sevgisi aşılayan bir anaokulu olmaktır. Teknoloji, sanat ve doğa temelli eğitim programlarımız ile, çocukların sosyal, duygusal ve bilişsel gelişimlerini destekleyen bir sistem oluşturuyoruz. Öğrencilerimizin sorumluluk sahibi, özgüvenli ve mutlu bireyler olarak yetişmesi için en iyi eğitim ortamını sunarak, ebeveynlerin gönül rahatlığıyla bırakabileceği bir anaokulu olmaya devam ediyoruz. Misyonumuz Özel Manavgat Dengeli Gelişim Anaokulu  olarak misyonumuz, her çocuğun bireysel farklılıklarına saygı duyan, merak duygusunu besleyen ve keşfetmeye teşvik eden bir eğitim anlayışı sunmaktır.  Güvenli, eğlenceli ve destekleyici  bir ortamda, çocukların kendilerini rahat ifade edebilmelerini, problem çözme becerilerini geliştirmelerini ve yaratıcılıklarını ortaya çıkarmalarını sağlamak için çalışıyoruz. Aynı zamanda, Manavgat'taki en iyi anaokullarından biri olarak, okul öncesi eğitimde kaliteli ve yenilikçi bir bakış açısı sunmayı amaçlıyoruz.;;;;;3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Binicilik, Jimnastik, Pilates, Yoga, Bale, Dans, Koro, Muzik, Orff, Yaratıcı Drama, Kamera, Yemek, Montesorri, Waldorf, Reggio Emilia, Yabancı Dil, Kodlama, Satranç, Bahce, Çocuk Parkı
Hello Kido;Maltepe / İstanbul;kurum_galeri/hellokido_1770962155.jpg;+905011576340;iletisim@oyungruplari.com;Hello Kido olarak İstanbul Maltepe bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Maltepe oyun grubu. İstanbul oyun grupları. Ritim İstanbul AVM B Blok 1. kat No:237;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Muzik, Yaratıcı Drama, Güvenlik, Kamera, Montesorri, Yabancı Dil, Aile Daışmanı, Hemşire
Gülümseyen Yüzler Anaokulu;Başakşehir / İstanbul;varsayilan.jpg;+905324566151;iletisim@oyungruplari.com;Merhabalar, İstanbul Bahçeşehir'de 20 yıldır faaliyet gösteren Milli Eğitim Bakanlığı'na bağlı kurumumuzda 3-6 yaş arası çocuklar ille yarım gün ve tam günlük programlar yürütmekteyiz. Eğitimi oyun ve eğlence ile birleştiren, merak duygusunu sürekli arttırmayı amaçlayan, öğrenmekten keyif alan çocuklar yetiştirmeyi hedef alan bir kurumuz. 2 Psikolog ve uzman kadromuz ile pek çok branş dersini de bünyemizde barındırıyoruz. Okula başlangıçta çocuklarımız ile günde 1 saat gibi bir oryantasyon programı uyguluyoruz. Bu esnada psikologlarımız, öğretmenlerimiz ve aile koordine olarak çocuğun hazır oluşluğuna göre aileden ayrılma süreçlerini yönetiyor, okulda kalma süresini ailenin hedefine göre yarım gün veya tam gün olacak şekilde zaman içinde arttırıyoruz.. Genel işleyişimiz, anlayışımız, program akışlarımız hakkında bilgi almak için bizlerle iletişime geçin..;;;;;3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Pilates, Yoga, Yüzme, Dans, Muzik, Yaratıcı Drama, Kamera, Servis, Servis Ögretmeni, Yemek, Yabancı Dil, Kodlama, Satranç, Havuz, Bahce, Çocuk Parkı, Aile Daışmanı
Sakurada Drama;Üsküdar / İstanbul;kurum_galeri/sakuradadrama_1770962157.jpg;+905362721205;iletisim@oyungruplari.com;Mor Salkım Çocuk Atölyesinde oyunla gelişimin desteklendiği, çocuğun bireysel ihtiyaçlarının fark edildiği, küçük grup avantajıyla yürütülen farklı atölyelerimiz mevcuttur. ⭐️24 Aylık Gelişimsel Oyun Grubu ⭐️36 Aylık Okula Hazırlık Grubu ⭐️Drama Atölyeleri Çocuğunuzun oyun dolu, gelişimini destekleyici bir yolculuğa başlaması için sizleri Mor Salkım Çocuk Atölyesine bekliyoruz. Atölyemizin çevresi otopark için müsaittir.;;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Yaratıcı Drama, Kamera, Bahce
Baby College Sakarya;Adapazarı / Sakarya;kurum_galeri/babycollegesakarya_1770962159.jpg;+905359837053;iletisim@oyungruplari.com;"BabyCollege®️ İlhamveren Oyun Buluşmaları, psikologlar, çocuk gelişimi uzmanları, öğretmenler ve ebeveyn tecrübeleri ile Oxford’ta geliştirilip tasarlanan ve 2000 yılından bu yana İngiltere başta olmak üzere dünyanın farklı ülkelerinde başarıyla uygulanan, koruyucu ve önleyici, uluslararası erken çocukluk dönemi eğitimi EYFS ile tam uyumlu, 0-36 aylık bebek ve ebeveynlerin katılımlarıyla gerçekleştirilen, makaton ( #işaretdili) yöntemini içeren, ödüllü ve benzersiz bir etkileşimli oyun ve aktivite programıdır. Her gelişim dönemine özel bilgilendirmeler ve gözlem formları ile ebeveynlere geniş kapsamlı bir rehberlik sunan program; •	Ses ve işaretdili çalışmaları ile dil gelişimini,  •	Dans, müzik ve ritim aktiviteleri ile bedensel farkındalığını, •	Farklı fiziksel etkinliklerle vestibüler sistemini, ince ve kaba motor becerilerini •	Duyusal oyunlar ile bilişsel gelişimini,  •	İlham veren etkinliklerle sosyal ve duygusal gelişimini destekler.";;;;;0 - 2 Yaş, 2 - 3 Yaş, Bahce
Minika Oyun Evi;Kartal / İstanbul;kurum_galeri/minikaoyunevi_1770962160.jpg;+905464083902;iletisim@oyungruplari.com;Kurumumuzda ebeveynli ve ebeveynsiz olarak oyun gruplarımızda atölyelerimizi gerçekleştiriyoruz. Atolyelerimiz ogrencilerimizinde gelişim süreçleriyle birlikte devam ediyor. Montessori, İngilizce, Reggio Emilia, Sanat Fen ve doğa atölyesi bu şekilde atolyelerimize dahil oluyorlar. Ayrıca bireysel çalışmalarımızla birlikte floortime eğitimi de veriyoruz. Uzman kadromuzla eğitimlerimizi gerçekleştiriyoruz 🌸;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Muzik, Yaratıcı Drama, Kamera, Yemek, Montesorri, Waldorf, Reggio Emilia, Yabancı Dil, Kodlama, Satranç, Bahce, Çocuk Parkı, Hemşire
Gelişim Evi Anaokulu Bakırköy;Bakırköy / İstanbul;kurum_galeri/gelişimevianaokulubakırköy_1770962161.jpg;+905522044488;iletisim@oyungruplari.com;Özel Gelişim Evi Anaokulu’nda çocukların kendine güvenen, kendini ifade eden, duygularının farkında olan ve üreten bireyler olarak yetişmeleri hedeflenmektedir. Çocukların bireysel becerileri ve ilgi alanlarını keşfederek hayat boyu öğrenme motivasyonunu kazanmalarına yardımcı olmayı hedefliyoruz. Okulumuzda birçok eğitim yöntemini kullanarak çocuklarımızın ihtiyaçlarına uygun bir ortam sağlıyoruz. Bu süreci daha da geliştirmek için anne ve babaları da atölyelerimize bekliyoruz. Ebeveyn eğitim atölyelerimiz ve çocuk oyun atölyelerimizde, çocukların gelişimine katkıda bulunacak bilgileri paylaşıyoruz ve birlikte eğlenerek öğreniyoruz. Sizleri de aramızda görmekten mutluluk duyarız.;;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Binicilik, Jimnastik, Pilates, Yoga, Dans, Koro, Muzik, Orff, Yaratıcı Drama, Kamera, Yemek, Montesorri, Waldorf, Reggio Emilia, Yabancı Dil, Kodlama, Satranç, Bahce, Çocuk Parkı, Konferans, Aile Daışmanı, Psikolojik
Deha Oyun Evi;Mamak / Ankara;varsayilan.jpg;+905541337882;iletisim@oyungruplari.com;Deha Oyun Evi olarak Ankara Mamak bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Mamak oyun grubu. Ankara oyun grupları.;;;;;
Bambigo Çocuk&Oyun Atölyesi;Karacabey / Bursa;kurum_galeri/bambigoçocukoyunatölyesi_1770962164.jpg;+905535037730;iletisim@oyungruplari.com;1-6 yaş arası tüm çocuklara eğlenerek öğrenmeyi amaçlıyoruz Atölyemizde duyu-sanat-müzik-ritim atölyeleri ve harekete-parkur-jimnastik etkinlikleri düzenlenmektedir;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Jimnastik, Yoga, Muzik, Orff, Yaratıcı Drama, Yemek, Montesorri, Kodlama
Pedagojik Orman Atölyesi;Nilüfer / Bursa;kurum_galeri/pedagojikormanatölyesi_1770962165.jpg;+905386577954;iletisim@oyungruplari.com;Pedagojik Orman Atölyesi olarak Bursa Nilüfer bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Nilüfer oyun grubu. Bursa oyun grupları.;;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Muzik, Orff, Yaratıcı Drama, Montesorri, Waldorf, Reggio Emilia
